category,subcategory,title,description,filterTag,dashboardURL,requestAccessURL,contactEmail,lastUpdated,ownerTeam,status
Sales R&M,Card Sales & RM,Card Acquisition Performance,"Tracks new card issuance, activation rates, and acquisition funnel metrics across regions and product tiers.",Business Performance,#,cards-access@company.com,card-analytics@company.com,Jun 2026,Cards Analytics,Live
Sales R&M,Card Sales & RM,RM Portfolio Overview,"Relationship manager portfolio health, spend penetration, activation, dormancy flags, and revenue contribution.",Employee Performance,#,cards-access@company.com,card-analytics@company.com,Jun 2026,RM Analytics,Live
Sales R&M,Card Sales & RM,Card Spend Analytics,"Monthly and quarterly card spend trends segmented by category, merchant type, geography, and customer tier.",Business Performance,#,cards-access@company.com,card-analytics@company.com,May 2026,Cards Analytics,Live
Sales R&M,Card Sales & RM,Dormancy & Reactivation Tracker,"Monitors dormant card accounts, reactivation campaign outcomes, and time-to-first-spend metrics.",Relationship Intelligence,#,cards-access@company.com,card-analytics@company.com,Jun 2026,Cards Analytics,Live
Sales R&M,Card Sales & RM,Card Revenue Dashboard,"Fee income, interchange revenue, and interest income breakdown across card portfolios and customer segments.",Business Performance,#,cards-access@company.com,card-analytics@company.com,Jun 2026,Cards Analytics,Live
Sales R&M,Card Sales & RM,RM Activity Monitor,"Daily and weekly RM call volumes, customer meetings, and pipeline activity against targets.",Employee Performance,#,cards-access@company.com,card-analytics@company.com,May 2026,RM Analytics,Live
Sales R&M,Card Sales & RM,Customer Lifetime Value - Cards,"CLV segmentation by vintage, product type, and acquisition channel to guide retention strategy.",Relationship Intelligence,#,cards-access@company.com,card-analytics@company.com,Apr 2026,Cards Analytics,Live
Sales R&M,Card Sales & RM,Card Limit Utilisation,"Utilisation rate trends by segment, risk tier, and product variant with breach alerts.",Specialized and Other,#,cards-access@company.com,card-analytics@company.com,Jun 2026,Cards Analytics,Live
Sales R&M,Card Sales & RM,Attrition & Churn Analysis,"Card cancellations, voluntary closure trends, and churn prediction model outputs by segment.",Business Performance,#,cards-access@company.com,card-analytics@company.com,Jun 2026,Cards Analytics,Live
Sales R&M,Card Sales & RM,Cross-sell & Upgrade Tracker,Tracks upgrade conversions from basic to premium cards and cross-sell attachment rates per RM.,Relationship Intelligence,#,cards-access@company.com,card-analytics@company.com,May 2026,Cards Analytics,Live
Sales R&M,Merchant Sales & RM,Merchant Onboarding Tracker,End-to-end merchant onboarding pipeline from lead to go-live with SLA compliance and documentation status.,Employee Performance,#,merchant-access@company.com,merchant-analytics@company.com,Jun 2026,Merchant Analytics,Live
Sales R&M,Merchant Sales & RM,Merchant GMV & TPV,"Gross Merchandise Value and Transaction Payment Volume by merchant, MCC, acquiring channel, and settlement type.",Business Performance,#,merchant-access@company.com,merchant-analytics@company.com,Jun 2026,Merchant Analytics,Live
Sales R&M,Merchant Sales & RM,Merchant Revenue Summary,"MDR income, rental fees, and value-added service revenue by merchant tier and product category.",Business Performance,#,merchant-access@company.com,merchant-analytics@company.com,May 2026,Merchant Analytics,Live
Sales R&M,Merchant Sales & RM,RM Merchant Portfolio,"RM-wise merchant portfolio health including active merchants, at-risk accounts, and revenue per RM.",Employee Performance,#,merchant-access@company.com,merchant-analytics@company.com,Jun 2026,Merchant Analytics,Live
Sales R&M,Merchant Sales & RM,Merchant Churn Dashboard,"Merchant attrition rates, early warning signals, and win-back campaign effectiveness.",Relationship Intelligence,#,merchant-access@company.com,merchant-analytics@company.com,Apr 2026,Merchant Analytics,Live
Sales R&M,Merchant Sales & RM,POS Terminal Deployment,"Terminal installation pipeline, active terminal counts, and downtime incidents by region and RM.",Specialized and Other,#,merchant-access@company.com,merchant-analytics@company.com,Jun 2026,Merchant Analytics,Live
Sales R&M,Merchant Sales & RM,Merchant Segment Analytics,"Performance breakdown by merchant category — retail, hospitality, healthcare, e-commerce, and QSR.",Business Performance,#,merchant-access@company.com,merchant-analytics@company.com,Jun 2026,Merchant Analytics,Live
Sales R&M,Merchant Sales & RM,Dispute & Chargeback Monitor,"Chargeback rates, dispute resolution timelines, and merchant liability trends by category.",Specialized and Other,#,merchant-access@company.com,merchant-analytics@company.com,May 2026,Merchant Analytics,Live
Sales R&M,Merchant Sales & RM,Merchant Visit Activity,"Field RM visit frequency, merchant satisfaction scores, and follow-up action completion rates.",Employee Performance,#,merchant-access@company.com,merchant-analytics@company.com,Jun 2026,Merchant Analytics,Live
Sales R&M,Merchant Sales & RM,New Merchant Revenue Ramp,"Revenue contribution ramp from newly onboarded merchants in first 90, 180, and 365 days.",Relationship Intelligence,#,merchant-access@company.com,merchant-analytics@company.com,Jun 2026,Merchant Analytics,Live
Sales R&M,Trade Sales & RM,Trade Finance Pipeline,"Live trade finance deal pipeline by product, region, RM, and deal stage with expected close dates.",Business Performance,#,trade-access@company.com,trade-analytics@company.com,Jun 2026,Trade Analytics,Live
Sales R&M,Trade Sales & RM,LC & BG Issuance Tracker,"Letter of Credit and Bank Guarantee issuance volumes, value, and turnaround time by branch.",Specialized and Other,#,trade-access@company.com,trade-analytics@company.com,Jun 2026,Trade Analytics,Live
Sales R&M,Trade Sales & RM,Trade Revenue Dashboard,"Fee income from LC, BG, collections, and supply chain finance products by client and RM.",Business Performance,#,trade-access@company.com,trade-analytics@company.com,May 2026,Trade Analytics,Live
Sales R&M,Trade Sales & RM,RM Trade Productivity,"Trade RM activity metrics including client calls, proposal submissions, and deal conversion rates.",Employee Performance,#,trade-access@company.com,trade-analytics@company.com,Jun 2026,Trade Analytics,Live
Sales R&M,Trade Sales & RM,Client Trade Wallet Share,Market wallet share estimates for top trade clients with penetration gaps and opportunity sizing.,Relationship Intelligence,#,trade-access@company.com,trade-analytics@company.com,Apr 2026,Trade Analytics,Live
Sales R&M,Trade Sales & RM,Supply Chain Finance Dashboard,"Buyer and supplier onboarding, utilisation rates, and programme revenue for SCF programmes.",Business Performance,#,trade-access@company.com,trade-analytics@company.com,Jun 2026,Trade Analytics,Live
Sales R&M,Trade Sales & RM,Trade Document Compliance,"Discrepancy rates on trade documents, correction turnaround times, and SLA adherence.",Specialized and Other,#,trade-access@company.com,trade-analytics@company.com,Jun 2026,Trade Analytics,Live
Sales R&M,Trade Sales & RM,Export Finance Analytics,"Export LC volumes, negotiation success rates, and currency exposure by product and region.",Business Performance,#,trade-access@company.com,trade-analytics@company.com,May 2026,Trade Analytics,Live
Sales R&M,Trade Sales & RM,Trade Client Relationship Score,"Composite relationship strength score for trade clients based on product breadth, tenure, and engagement.",Relationship Intelligence,#,trade-access@company.com,trade-analytics@company.com,Jun 2026,Trade Analytics,Live
Sales R&M,Trade Sales & RM,Trade Limit Utilisation,"Sanctioned vs utilised trade limits by client, facility type, and expiry profile.",Specialized and Other,#,trade-access@company.com,trade-analytics@company.com,Jun 2026,Trade Analytics,Live
Sales R&M,TS Corp Sales,Corporate Sales Revenue,"Total revenue from corporate treasury services including cash management, deposits, and lending products.",Business Performance,#,ts-access@company.com,ts-analytics@company.com,Jun 2026,TS Analytics,Live
Sales R&M,TS Corp Sales,Corporate Client Coverage,"RM coverage ratios, wallet penetration, and revenue per covered corporate client.",Relationship Intelligence,#,ts-access@company.com,ts-analytics@company.com,Jun 2026,TS Analytics,Live
Sales R&M,TS Corp Sales,Cash Management Sales,"Cash management product adoption, transaction volumes, and fee income by corporate client segment.",Business Performance,#,ts-access@company.com,ts-analytics@company.com,May 2026,TS Analytics,Live
Sales R&M,TS Corp Sales,RM Corporate Activity,"Corporate RM meeting logs, client engagement scores, and pipeline deal progression.",Employee Performance,#,ts-access@company.com,ts-analytics@company.com,Jun 2026,TS Analytics,Live
Sales R&M,TS Corp Sales,Corporate Deposit Tracker,"Term and demand deposit balances, maturity profiles, and rate sensitivity by corporate client.",Business Performance,#,ts-access@company.com,ts-analytics@company.com,Jun 2026,TS Analytics,Live
Sales R&M,TS Corp Sales,Lending & Credit Utilisation,"Sanctioned credit limits, utilisation trends, and drawn vs undrawn facility analysis for corporates.",Specialized and Other,#,ts-access@company.com,ts-analytics@company.com,Apr 2026,TS Analytics,Live
Sales R&M,TS Corp Sales,Corporate Onboarding Status,KYC and onboarding status tracker for new corporate clients with SLA compliance by stage.,Employee Performance,#,ts-access@company.com,ts-analytics@company.com,Jun 2026,TS Analytics,Live
Sales R&M,TS Corp Sales,Corporate Wallet Share Analysis,Estimated total wallet and bank share for top 100 corporate clients with growth opportunity flags.,Relationship Intelligence,#,ts-access@company.com,ts-analytics@company.com,May 2026,TS Analytics,Live
Sales R&M,TS Corp Sales,Fee Income by Product,"Granular fee income decomposition across transaction banking, lending, and advisory for corporates.",Business Performance,#,ts-access@company.com,ts-analytics@company.com,Jun 2026,TS Analytics,Live
Sales R&M,TS Corp Sales,Corporate Risk Dashboard,"Credit risk ratings, exposure concentration, and early warning indicators for the corporate portfolio.",Specialized and Other,#,ts-access@company.com,ts-analytics@company.com,Jun 2026,TS Analytics,Live
Sales R&M,TS FIG Sales,FIG Revenue Summary,"Revenue from Financial Institutions Group clients including banks, NBFCs, and insurance companies.",Business Performance,#,fig-access@company.com,fig-analytics@company.com,Jun 2026,FIG Analytics,Live
Sales R&M,TS FIG Sales,Correspondent Banking Dashboard,"Nostro/Vostro balances, payment flows, and correspondent relationship health metrics.",Specialized and Other,#,fig-access@company.com,fig-analytics@company.com,Jun 2026,FIG Analytics,Live
Sales R&M,TS FIG Sales,FIG Client Pipeline,"Active sales pipeline for FIG clients including deal stage, estimated revenue, and probability.",Business Performance,#,fig-access@company.com,fig-analytics@company.com,May 2026,FIG Analytics,Live
Sales R&M,TS FIG Sales,NBFC Lending Exposure,"Lending exposure to NBFC clients by rating, maturity, and sector with concentration alerts.",Specialized and Other,#,fig-access@company.com,fig-analytics@company.com,Jun 2026,FIG Analytics,Live
Sales R&M,TS FIG Sales,FIG RM Performance,"RM-level revenue attainment, client meeting cadence, and new mandate win rate for FIG coverage.",Employee Performance,#,fig-access@company.com,fig-analytics@company.com,Jun 2026,FIG Analytics,Live
Sales R&M,TS FIG Sales,Insurance Client Analytics,"Premium financing, investment product penetration, and custody mandates for insurance clients.",Relationship Intelligence,#,fig-access@company.com,fig-analytics@company.com,Apr 2026,FIG Analytics,Live
Sales R&M,TS FIG Sales,FIG Transaction Volumes,"SWIFT payment volumes, clearing transactions, and fund transfer activity by FIG client type.",Business Performance,#,fig-access@company.com,fig-analytics@company.com,Jun 2026,FIG Analytics,Live
Sales R&M,TS FIG Sales,Mutual Fund & AMC Dashboard,"Distribution revenue, AUM trends, and product penetration for Asset Management Company relationships.",Relationship Intelligence,#,fig-access@company.com,fig-analytics@company.com,May 2026,FIG Analytics,Live
Sales R&M,TS FIG Sales,FIG Onboarding Tracker,"Regulatory onboarding milestones, documentation status, and go-live timelines for FIG clients.",Employee Performance,#,fig-access@company.com,fig-analytics@company.com,Jun 2026,FIG Analytics,Live
Sales R&M,TS FIG Sales,FIG Risk & Exposure Monitor,"Counterparty risk ratings, settlement exposure, and limit utilisation across FIG relationships.",Specialized and Other,#,fig-access@company.com,fig-analytics@company.com,Jun 2026,FIG Analytics,Live
Product Solutions,Digital Channel,Digital Adoption Dashboard,"Customer adoption rates across mobile banking, internet banking, and digital self-service channels.",Business Performance,#,digital-access@company.com,digital-analytics@company.com,Jun 2026,Digital Analytics,Live
Product Solutions,Digital Channel,Mobile Banking Usage,"DAU/MAU trends, feature engagement, session duration, and drop-off points in mobile banking app.",Business Performance,#,digital-access@company.com,digital-analytics@company.com,Jun 2026,Digital Analytics,Live
Product Solutions,Digital Channel,Digital Transaction Volume,Volume and value of transactions processed through digital channels vs branch and ATM.,Business Performance,#,digital-access@company.com,digital-analytics@company.com,May 2026,Digital Analytics,Live
Product Solutions,Digital Channel,Channel Migration Tracker,Progress of customers migrating from branch to digital channels with segment and product breakdowns.,Relationship Intelligence,#,digital-access@company.com,digital-analytics@company.com,Jun 2026,Digital Analytics,Live
Product Solutions,Digital Channel,Digital Sales Conversion,"Lead-to-product conversion rates for digital origination across loans, cards, and deposits.",Business Performance,#,digital-access@company.com,digital-analytics@company.com,Jun 2026,Digital Analytics,Live
Product Solutions,Digital Channel,App Performance Monitor,"App crash rates, load times, API response SLAs, and incident logs by platform and version.",Specialized and Other,#,digital-access@company.com,digital-analytics@company.com,Jun 2026,Digital Analytics,Live
Product Solutions,Digital Channel,Digital RM Engagement,"Relationship manager usage of digital tools, client communication frequency, and platform engagement.",Employee Performance,#,digital-access@company.com,digital-analytics@company.com,Apr 2026,Digital Analytics,Live
